List,Name
AT0,SCGB3A2
AT0,SLPI
AT0,CD207
AT0,HLA-DPB1
AT0,TYRP1
AT0,SH2D6
AT0,KCNN2
AT0,TRH
AT0,GATA5
AT0,GDF15
AT1,HOPX
AT1,EMP2
AT1,AGER
AT1,SFTA2
AT1,SFTPB
AT1,CCL11
AT1,KCNN2
AT1,DSTN
AT1,TRGV2
AT1,SPIC
AT2,SFTPC
AT2,NAPSA
AT2,SFTPB
AT2,SFTPA1
AT2,SFTPA2
AT2,SLPI
AT2,NPC2
AT2,SERPINA1
AT2,OMG
AT2,S100A6
AT2 proliferating,PEG10
AT2 proliferating,TPSG1
AT2 proliferating,SFN
AT2 proliferating,TYMS
AT2 proliferating,TK1
AT2 proliferating,SIGLEC6
AT2 proliferating,CCL11
AT2 proliferating,SCT
AT2 proliferating,TNFSF11
AT2 proliferating,BRINP3
Adventitial fibroblasts,DCN
Adventitial fibroblasts,SFTPC
Adventitial fibroblasts,MT2A
Adventitial fibroblasts,FIBCD1
Adventitial fibroblasts,NTNG2
Adventitial fibroblasts,CFD
Adventitial fibroblasts,IGFBP6
Adventitial fibroblasts,LUM
Adventitial fibroblasts,GPRC5A
Adventitial fibroblasts,IGFBP4
Alveolar Mph CCL3+,MT2A
Alveolar Mph CCL3+,HLA-DRB1
Alveolar Mph CCL3+,C1QC
Alveolar Mph CCL3+,SOD2
Alveolar Mph CCL3+,CCL4L2
Alveolar Mph CCL3+,RPS4Y1
Alveolar Mph CCL3+,MT1E
Alveolar Mph CCL3+,CCL4
Alveolar Mph CCL3+,GREM2
Alveolar Mph CCL3+,BRINP3
Alveolar Mph MT-positive,MT1X
Alveolar Mph MT-positive,MT2A
Alveolar Mph MT-positive,HMOX1
Alveolar Mph MT-positive,CCL18
Alveolar Mph MT-positive,CCL11
Alveolar Mph MT-positive,DTX1
Alveolar Mph MT-positive,GPR25
Alveolar Mph MT-positive,VEGFD
Alveolar Mph MT-positive,MT1F
Alveolar Mph MT-positive,TRGV2
Alveolar Mph proliferating,CCL11
Alveolar Mph proliferating,CDH19
Alveolar Mph proliferating,PCLAF
Alveolar Mph proliferating,TYMS
Alveolar Mph proliferating,KLK14
Alveolar Mph proliferating,TFF2
Alveolar Mph proliferating,GPR25
Alveolar Mph proliferating,BRINP3
Alveolar Mph proliferating,PAEP
Alveolar Mph proliferating,JPH2
Alveolar fibroblasts,RGCC
Alveolar fibroblasts,A2M
Alveolar fibroblasts,SIGLEC6
Alveolar fibroblasts,TFF2
Alveolar fibroblasts,RP11-501J20.5
Alveolar fibroblasts,GNAO1
Alveolar fibroblasts,GPX3
Alveolar fibroblasts,KLK14
Alveolar fibroblasts,TRGV2
Alveolar fibroblasts,SMR3A
Alveolar macrophages,FTH1
Alveolar macrophages,FTL
Alveolar macrophages,C1QB
Alveolar macrophages,FABP4
Alveolar macrophages,S100A11
Alveolar macrophages,HLA-DRA
Alveolar macrophages,C1QA
Alveolar macrophages,ALOX5AP
Alveolar macrophages,S100A10
Alveolar macrophages,NKG7
B cells,HLA-DRA
B cells,MS4A1
B cells,CD74
B cells,TRGV2
B cells,ROCR
B cells,CDK15
B cells,CCL11
B cells,CDH19
B cells,GPR182
B cells,CD79A
Basal resting,KRT15
