,List,Markers
0,AT0,SCGB3A2
1,AT0,SLPI
2,AT0,CD207
3,AT0,HLA-DPB1
4,AT0,TYRP1
5,AT0,SH2D6
6,AT0,KCNN2
7,AT0,TRH
8,AT0,GATA5
9,AT0,GDF15
10,AT0,AADACL2
11,AT0,TPSG1
12,AT0,KRT1
13,AT0,RP11-501J20.5
14,AT0,RP11-826N14.8
15,AT0,HPD
16,AT0,XIST
17,AT0,SPIC
18,AT0,GPR182
19,AT0,SIGLEC6
20,AT0,OTC
21,AT0,HSPB3
22,AT0,NTRK1
23,AT0,B4GALNT1
24,AT0,BST2
25,AT0,EPGN
26,AT0,TRGV2
27,AT0,SPINK14
28,AT0,NUGGC
29,AT0,BRINP3
30,AT1,HOPX
31,AT1,EMP2
32,AT1,AGER
33,AT1,SFTA2
34,AT1,SFTPB
35,AT1,CCL11
36,AT1,KCNN2
37,AT1,DSTN
38,AT1,TRGV2
39,AT1,SPIC
40,AT1,RP11-322E11.5
41,AT1,TFF2
42,AT1,CAV1
43,AT1,TPSG1
44,AT1,SEZ6L
45,AT1,COMP
46,AT1,CD1B
47,AT1,LINC00636
48,AT1,AVPR1A
49,AT1,EBF2
50,AT1,LINC02106
51,AT1,HSPB3
52,AT1,GPC2
53,AT1,GPR182
54,AT1,TRH
55,AT1,CDH19
56,AT1,BRINP3
57,AT1,MPIG6B
58,AT1,RP11-501J20.5
59,AT1,PAEP
60,AT2,SFTPC
61,AT2,NAPSA
62,AT2,SFTPB
63,AT2,SFTPA1
64,AT2,SFTPA2
65,AT2,SLPI
66,AT2,NPC2
67,AT2,SERPINA1
68,AT2,OMG
69,AT2,S100A6
70,AT2,SLC34A2
71,AT2,SFTA2
72,AT2,CD74
73,AT2,FTL
74,AT2,TPPP3
75,AT2,CLDN4
76,AT2,CYB5A
77,AT2,NEAT1
78,AT2,SSUH2
79,AT2,PIMREG
80,AT2,DCN
81,AT2,EPPIN
82,AT2,MRLN
83,AT2,KCNA4
84,AT2,IGHV3-30
85,AT2,MUC1
86,AT2,OTC
87,AT2,LRRK2
88,AT2,KLF1
89,AT2,A2M
90,AT2 proliferating,PEG10
91,AT2 proliferating,TPSG1
92,AT2 proliferating,SFN
93,AT2 proliferating,TYMS
94,AT2 proliferating,TK1
95,AT2 proliferating,SIGLEC6
96,AT2 proliferating,CCL11
97,AT2 proliferating,SCT
98,AT2 proliferating,TNFSF11
99,AT2 proliferating,BRINP3
100,AT2 proliferating,TRGV2
101,AT2 proliferating,TOP2A
102,AT2 proliferating,COMP
103,AT2 proliferating,TFF2
104,AT2 proliferating,CRLF2
105,AT2 proliferating,ADRA2C
106,AT2 proliferating,KCNN2
107,AT2 proliferating,GREM2
108,AT2 proliferating,PTTG1
109,AT2 proliferating,RUNDC3B
110,AT2 proliferating,LINC01705
111,AT2 proliferating,OTC
112,AT2 proliferating,CD207
113,AT2 proliferating,KRT1
114,AT2 proliferating,HSPB3
115,AT2 proliferating,CTD-2531D15.4
