,List,Markers
0,Endothelial,Egfl7
1,Endothelial,Mmrn1
2,Endothelial,Vwf
3,Endothelial,Tfpi
4,Endothelial,Ldn5
5,Endothelial,Alcrl
6,Endothelial,B2m
7,Endothelial,Arhgap29
8,Endothelial,Eln-1
9,Endothelial,Pecam1
10,Endothelial,Tm4sf1
11,Endothelial,Aqp1
12,Endothelial,Dock9
13,Endothelial,Hla-e
14,Endothelial,Bp4
15,Endothelial,Epas1
16,Endothelial,Wars
17,Endothelial,Pcat19
18,Endothelial,Npdc1
19,Endothelial,Ptprb
20,Endothelial,Ifitm3
21,Endothelial,Tnfsf10
22,Endothelial,Hla-b
23,Endothelial,Txnip
24,Endothelial,Tcf4
25,Endothelial,Lyve1
26,Endothelial,Ap
27,Endothelial,Ntnap3b
28,Endothelial,Hif3a
29,Endothelial,Sad2
30,Epithelial,Sftpb
31,Epithelial,Msln
32,Epithelial,Napsa
33,Epithelial,Lmo3
34,Epithelial,Scnn1a
35,Epithelial,Ptprf
36,Epithelial,B4galnt3
37,Epithelial,Slc22a31
38,Epithelial,Slc34a2
39,Epithelial,Sftpd
40,Epithelial,Sytl1
41,Epithelial,Ms4a15
42,Epithelial,Eacam6
43,Epithelial,Muc1
44,Epithelial,Tacc2
45,Epithelial,Assf7
46,Epithelial,Patj
47,Epithelial,Wfdc2
48,Epithelial,Itgb6
49,Epithelial,Serinc2
50,Epithelial,Magi3
51,Epithelial,Ol4a4
52,Epithelial,Susd2
53,Epithelial,Prkcz
54,Epithelial,Tse
55,Epithelial,Trmt61a
56,Epithelial,Lamb3
57,Epithelial,Ldn18
58,Epithelial,Lmntd2
59,Epithelial,Ol4a3
60,Immune,Lyz
61,Immune,D52
62,Immune,Ptprc
63,Immune,Pou2af1
64,Immune,Mzb1
65,Immune,Laptm5
66,Immune,D69
67,Immune,1qb
68,Immune,D37
69,Immune,Jchain
70,Immune,Tmem251
71,Immune,Hcls1
72,Immune,Iglc2
73,Immune,1orf162
74,Immune,Hcst
75,Immune,1qc
76,Immune,Xcr4
77,Immune,Klrb1
78,Immune,Ltb-1
79,Immune,Trbc1
80,Immune,Ncf1
81,Immune,S1
82,Immune,1qa
83,Immune,Ikzf1
84,Immune,Dok2
85,Immune,Evi2b
86,Immune,Dusp2
87,Immune,Pr65
88,Immune,Ac2
89,Immune,Ms4a7
90,Stroma,Dcn
91,Stroma,Ol6a2
92,Stroma,Ol3a1
93,Stroma,Ol1a2
94,Stroma,Lum
95,Stroma,A2m
96,Stroma,Mmp2
97,Stroma,Ol6a1
98,Stroma,Arres2
99,Stroma,Nbl1
100,Stroma,Adh1b
101,Stroma,Fbln1
102,Stroma,Slc40a1
103,Stroma,Px3
104,Stroma,Mfap4
105,Stroma,Fn1
106,Stroma,Ol6a3
107,Stroma,Plekhh2
108,Stroma,Tbx2
109,Stroma,Mmp14
110,Stroma,Zeb2
111,Stroma,Ispld2
112,Stroma,Pdgfra
113,Stroma,Timp2
114,Stroma,Pth1r
115,Stroma,Ald1
116,Stroma,Pdgfrb
117,Stroma,Ol18a1
118,Stroma,Serping1
119,Stroma,Nr2f1
120,Unknown,Slc23a3
121,Unknown,Or1-as1
122,Unknown,Plch1
123,Unknown,D3d
124,Unknown,12orf75
125,Unknown,Ops4
126,Unknown,Pcdhgb3
127,Unknown,10orf143
128,Unknown,Tmem251
129,Unknown,Pcdh10
130,Unknown,Ppil6
131,Unknown,Wdr1
132,Unknown,Myo9b
133,Unknown,Fhl5
134,Unknown,Mrpl36
135,Unknown,Spag8
136,Unknown,Pank4
137,Unknown,Znf564
138,Unknown,Misp
139,Unknown,Nudt2
140,Unknown,Klrg1
141,Unknown,Hoxc9
142,Unknown,Flvcr1
143,Unknown,Mfsd5
144,Unknown,Ac022364.1
145,Unknown,Ntmt1
146,Unknown,Al450998.2
147,Unknown,Arhgef4
148,Unknown,Dhcr24
149,Unknown,Ac009237.14
