List,Markers
Alveolar epithelium,Sftpb
Alveolar epithelium,Napsa
Alveolar epithelium,Msln
Alveolar epithelium,Sftpd
Alveolar epithelium,Slc34a2
Alveolar epithelium,Slc22a31
Alveolar epithelium,Susd2
Alveolar epithelium,Patj
Alveolar epithelium,Assf7
Alveolar epithelium,Scnn1a
Alveolar epithelium,Ldn18
Alveolar epithelium,Muc1
Alveolar epithelium,Lmo3
Alveolar epithelium,Abca3
Alveolar epithelium,Lamb3
Alveolar epithelium,Wfdc2
Alveolar epithelium,Tse
Alveolar epithelium,Ntm
Alveolar epithelium,Lic5
Alveolar epithelium,D55
Alveolar epithelium,Ol4a3
Alveolar epithelium,Tkn2
Alveolar epithelium,Ol4a4
Alveolar epithelium,Ptprf
Alveolar epithelium,Adm1
Alveolar epithelium,Yp4b1
Alveolar epithelium,Pm
Alveolar epithelium,Dapk1
Alveolar epithelium,4bpa
Alveolar epithelium,Olga8b
Blood vessels,Vwf
Blood vessels,Epas1
Blood vessels,Sparcl1
Blood vessels,Bp4
Blood vessels,Egfl7
Blood vessels,Aqp1
Blood vessels,Pecam1
Blood vessels,Ifi27
Blood vessels,Npdc1
Blood vessels,Ldn5
Blood vessels,Ifitm3
Blood vessels,Ifi44l
Blood vessels,Tm4sf1
Blood vessels,Ackr1
Blood vessels,Lims2
Blood vessels,Hla-drb1
Blood vessels,Txnip
Blood vessels,Ptprb
Blood vessels,D74
Blood vessels,D93
Blood vessels,Fcn3
Blood vessels,Plvap
Blood vessels,Pcdh17
Blood vessels,Il4r
Blood vessels,Xaf1
Blood vessels,Dock9
Blood vessels,Lifr
Blood vessels,Btnl9
Blood vessels,Slco2a1
Blood vessels,Hla-drb5
Fibroblast lineage,Ol6a2
Fibroblast lineage,Ol3a1
Fibroblast lineage,Lum
Fibroblast lineage,Dcn
Fibroblast lineage,A2m
Fibroblast lineage,Mmp2
Fibroblast lineage,Ol6a1
Fibroblast lineage,Arres2
Fibroblast lineage,Adh1b
Fibroblast lineage,1s
Fibroblast lineage,Mmp14
Fibroblast lineage,Ptgds
Fibroblast lineage,Slc40a1
Fibroblast lineage,Serping1
Fibroblast lineage,Qsox1
Fibroblast lineage,Nr2f1
Fibroblast lineage,Plxdc2
Fibroblast lineage,Pdgfrb
Fibroblast lineage,Tbx2
Fibroblast lineage,Px3
Fibroblast lineage,Mxra8
Fibroblast lineage,Pxm1
Fibroblast lineage,Ol18a1
Fibroblast lineage,Pth1r
Fibroblast lineage,Vmp1
Fibroblast lineage,Apoe
Fibroblast lineage,1r
Fibroblast lineage,Dst
Fibroblast lineage,Ps2
Fibroblast lineage,Tmem176a
Lymphatic EC,L21
Lymphatic EC,Kbtbd11
Lymphatic EC,Tbx1
Lymphatic EC,Scn3b
Lymphatic EC,Mmrn1
Lymphatic EC,Tff3
Lymphatic EC,Eln-1
Lymphatic EC,Angpt2
Lymphatic EC,Lyve1
Lymphatic EC,Prox1
Lymphatic EC,Nksr3
Lymphatic EC,Flt4
Lymphatic EC,Klf6
Lymphatic EC,Fabp4
Lymphatic EC,Fabp5
Lymphatic EC,Sema3a
Lymphatic EC,Bmp2k
Lymphatic EC,6orf141
Lymphatic EC,Smad1
Lymphatic EC,Mrc1
Lymphatic EC,Arl4a
Lymphatic EC,Arl6ip1
Lymphatic EC,Dock5
Lymphatic EC,Stab2
Lymphatic EC,Pkhd1l1
Lymphatic EC,Pgm5
Lymphatic EC,Ap
Lymphatic EC,Sh3tc1
Lymphatic EC,Tfpi
Lymphatic EC,Ackr3
Lymphoid,Pou2af1
Lymphoid,Mzb1
Lymphoid,D69
Lymphoid,Ltb-1
Lymphoid,Klrb1
Lymphoid,Derl3
Lymphoid,Trbc1
Lymphoid,D52
Lymphoid,Ptprc
Lymphoid,Pr183
Lymphoid,Xcr4
Lymphoid,Ikzf1
Lymphoid,P2rx1
Lymphoid,Hspe1
Lymphoid,Dusp2
Lymphoid,Il7r
Lymphoid,D2
Lymphoid,Ern1
Lymphoid,Ac2
Lymphoid,Emb
Lymphoid,D48
Lymphoid,Hspa6
Lymphoid,Trat1
Lymphoid,Zap70
Lymphoid,Linc00649
Lymphoid,Ps29
Lymphoid,Hspa8
Lymphoid,Hordc1
Lymphoid,Xcl2
Lymphoid,Hsp90aa1
Myeloid,Lyz
Myeloid,Apoc1
Myeloid,Fcer1g
Myeloid,1qb
Myeloid,Laptm5
Myeloid,Xcl8
Myeloid,D37
Myeloid,Msr1
Myeloid,Hcls1
Myeloid,Tpsab1
Myeloid,Tpsb2
Myeloid,D163
Myeloid,1qc
Myeloid,1orf162
Myeloid,Hcst
Myeloid,Itgax
Myeloid,Ac020656.1
Myeloid,Alox5ap
Myeloid,Kit
Myeloid,Aif1
Myeloid,1qa
Myeloid,Tsd
Myeloid,S1
Myeloid,Pa3
Myeloid,Hla-dmb
Myeloid,Ms4a2
Myeloid,Otoa
Myeloid,Acp5
Myeloid,Lul
Myeloid,Pnmt
Smooth muscle,Myh11
Smooth muscle,Mrvi1
Smooth muscle,Des
Smooth muscle,Tagln
Smooth muscle,Myocd
Smooth muscle,Acta2
