Gene name,Function
SCGB3A2,AT0 marker
SLPI,AT0 marker
CD207,AT0 marker
HLA-DPB1,AT0 marker
TYRP1,AT0 marker
SH2D6,AT0 marker
KCNN2,AT0 marker
TRH,AT0 marker
GATA5,AT0 marker
GDF15,AT0 marker
AADACL2,AT0 marker
TPSG1,AT0 marker
KRT1,AT0 marker
RP11-501J20.5,AT0 marker
RP11-826N14.8,AT0 marker
HPD,AT0 marker
XIST,AT0 marker
SPIC,AT0 marker
GPR182,AT0 marker
SIGLEC6,AT0 marker
OTC,AT0 marker
HSPB3,AT0 marker
NTRK1,AT0 marker
B4GALNT1,AT0 marker
BST2,AT0 marker
EPGN,AT0 marker
TRGV2,AT0 marker
SPINK14,AT0 marker
NUGGC,AT0 marker
BRINP3,AT0 marker
HOPX,AT1 marker
EMP2,AT1 marker
AGER,AT1 marker
SFTA2,AT1 marker
SFTPB,AT1 marker
CCL11,AT1 marker
KCNN2,AT1 marker
DSTN,AT1 marker
TRGV2,AT1 marker
SPIC,AT1 marker
RP11-322E11.5,AT1 marker
TFF2,AT1 marker
CAV1,AT1 marker
TPSG1,AT1 marker
SEZ6L,AT1 marker
COMP,AT1 marker
CD1B,AT1 marker
LINC00636,AT1 marker
AVPR1A,AT1 marker
EBF2,AT1 marker
LINC02106,AT1 marker
HSPB3,AT1 marker
GPC2,AT1 marker
GPR182,AT1 marker
TRH,AT1 marker
CDH19,AT1 marker
BRINP3,AT1 marker
MPIG6B,AT1 marker
RP11-501J20.5,AT1 marker
PAEP,AT1 marker
SFTPC,AT2 marker
NAPSA,AT2 marker
SFTPB,AT2 marker
SFTPA1,AT2 marker
SFTPA2,AT2 marker
SLPI,AT2 marker
NPC2,AT2 marker
SERPINA1,AT2 marker
OMG,AT2 marker
S100A6,AT2 marker
SLC34A2,AT2 marker
SFTA2,AT2 marker
CD74,AT2 marker
FTL,AT2 marker
TPPP3,AT2 marker
CLDN4,AT2 marker
CYB5A,AT2 marker
NEAT1,AT2 marker
SSUH2,AT2 marker
PIMREG,AT2 marker
DCN,AT2 marker
EPPIN,AT2 marker
MRLN,AT2 marker
KCNA4,AT2 marker
IGHV3-30,AT2 marker
MUC1,AT2 marker
OTC,AT2 marker
LRRK2,AT2 marker
KLF1,AT2 marker
A2M,AT2 marker
PEG10,AT2 proliferating marker
TPSG1,AT2 proliferating marker
SFN,AT2 proliferating marker
TYMS,AT2 proliferating marker
TK1,AT2 proliferating marker
SIGLEC6,AT2 proliferating marker
CCL11,AT2 proliferating marker
SCT,AT2 proliferating marker
TNFSF11,AT2 proliferating marker
BRINP3,AT2 proliferating marker
TRGV2,AT2 proliferating marker
TOP2A,AT2 proliferating marker
COMP,AT2 proliferating marker
TFF2,AT2 proliferating marker
CRLF2,AT2 proliferating marker
ADRA2C,AT2 proliferating marker
KCNN2,AT2 proliferating marker
GREM2,AT2 proliferating marker
PTTG1,AT2 proliferating marker
RUNDC3B,AT2 proliferating marker
LINC01705,AT2 proliferating marker
OTC,AT2 proliferating marker
CD207,AT2 proliferating marker
KRT1,AT2 proliferating marker
HSPB3,AT2 proliferating marker
CTD-2531D15.4,AT2 proliferating marker
AMHR2,AT2 proliferating marker
LINC01122,AT2 proliferating marker
RP11-817J15.2,AT2 proliferating marker
SOX10,AT2 proliferating marker
DCN,Adventitial fibroblasts marker
SFTPC,Adventitial fibroblasts marker
MT2A,Adventitial fibroblasts marker
FIBCD1,Adventitial fibroblasts marker
NTNG2,Adventitial fibroblasts marker
CFD,Adventitial fibroblasts marker
IGFBP6,Adventitial fibroblasts marker
LUM,Adventitial fibroblasts marker
GPRC5A,Adventitial fibroblasts marker
IGFBP4,Adventitial fibroblasts marker
TIMP1,Adventitial fibroblasts marker
COL24A1,Adventitial fibroblasts marker
RP11-817J15.2,Adventitial fibroblasts marker
CLEC9A,Adventitial fibroblasts marker
HOXD9,Adventitial fibroblasts marker
HOXA9,Adventitial fibroblasts marker
CTD-2547H18.1,Adventitial fibroblasts marker
SH2D6,Adventitial fibroblasts marker
SPIC,Adventitial fibroblasts marker
APOD,Adventitial fibroblasts marker
ADH1B,Adventitial fibroblasts marker
KCNN2,Adventitial fibroblasts marker
MGST1,Adventitial fibroblasts marker
TRH,Adventitial fibroblasts marker
ADCYAP1,Adventitial fibroblasts marker
VIM,Adventitial fibroblasts marker
SEZ6L,Adventitial fibroblasts marker
PAEP,Adventitial fibroblasts marker
ACTA1,Adventitial fibroblasts marker
IFNG-AS1,Adventitial fibroblasts marker
MT2A,Alveolar Mph CCL3+ marker
HLA-DRB1,Alveolar Mph CCL3+ marker
C1QC,Alveolar Mph CCL3+ marker
SOD2,Alveolar Mph CCL3+ marker
CCL4L2,Alveolar Mph CCL3+ marker
RPS4Y1,Alveolar Mph CCL3+ marker
MT1E,Alveolar Mph CCL3+ marker
CCL4,Alveolar Mph CCL3+ marker
GREM2,Alveolar Mph CCL3+ marker
BRINP3,Alveolar Mph CCL3+ marker
SNX10,Alveolar Mph CCL3+ marker
TYRP1,Alveolar Mph CCL3+ marker
VSIG4,Alveolar Mph CCL3+ marker
STOM,Alveolar Mph CCL3+ marker
RP11-826N14.8,Alveolar Mph CCL3+ marker
MT1X,Alveolar Mph CCL3+ marker
SIGLEC6,Alveolar Mph CCL3+ marker
GLUL,Alveolar Mph CCL3+ marker
IL7R,Alveolar Mph CCL3+ marker
CCL11,Alveolar Mph CCL3+ marker
PAEP,Alveolar Mph CCL3+ marker
TFF2,Alveolar Mph CCL3+ marker
EPGN,Alveolar Mph CCL3+ marker
C4B,Alveolar Mph CCL3+ marker
HLA-DQA2,Alveolar Mph CCL3+ marker
NFIA-AS2,Alveolar Mph CCL3+ marker
S100A8,Alveolar Mph CCL3+ marker
SYT10,Alveolar Mph CCL3+ marker
SMPX,Alveolar Mph CCL3+ marker
KCNA5,Alveolar Mph CCL3+ marker
MT1X,Alveolar Mph MT-positive marker
MT2A,Alveolar Mph MT-positive marker
HMOX1,Alveolar Mph MT-positive marker
CCL18,Alveolar Mph MT-positive marker
CCL11,Alveolar Mph MT-positive marker
DTX1,Alveolar Mph MT-positive marker
GPR25,Alveolar Mph MT-positive marker
VEGFD,Alveolar Mph MT-positive marker
MT1F,Alveolar Mph MT-positive marker
TRGV2,Alveolar Mph MT-positive marker
JPH2,Alveolar Mph MT-positive marker
LINC00636,Alveolar Mph MT-positive marker
NFIA-AS2,Alveolar Mph MT-positive marker
MT1G,Alveolar Mph MT-positive marker
FDCSP,Alveolar Mph MT-positive marker
APLN,Alveolar Mph MT-positive marker
KCNN2,Alveolar Mph MT-positive marker
DLL3,Alveolar Mph MT-positive marker
AVPR1A,Alveolar Mph MT-positive marker
RP11-557H15.4,Alveolar Mph MT-positive marker
SCT,Alveolar Mph MT-positive marker
MT1E,Alveolar Mph MT-positive marker
BRINP3,Alveolar Mph MT-positive marker
TFF2,Alveolar Mph MT-positive marker
KLK14,Alveolar Mph MT-positive marker
KRT1,Alveolar Mph MT-positive marker
RP11-817J15.2,Alveolar Mph MT-positive marker
ADRA2C,Alveolar Mph MT-positive marker
OTC,Alveolar Mph MT-positive marker
HSPB3,Alveolar Mph MT-positive marker
CCL11,Alveolar Mph proliferating marker
CDH19,Alveolar Mph proliferating marker
PCLAF,Alveolar Mph proliferating marker
TYMS,Alveolar Mph proliferating marker
KLK14,Alveolar Mph proliferating marker
TFF2,Alveolar Mph proliferating marker
GPR25,Alveolar Mph proliferating marker
