Gene name,Function
MCAM,2_Smooth muscle marker
MYH11,2_Smooth muscle marker
UCY1A2,2_Smooth muscle marker
LGI4,2_Smooth muscle marker
KLHL23,2_Smooth muscle marker
AD-1,2_Smooth muscle marker
AN2,2_Smooth muscle marker
ARMN,2_Smooth muscle marker
IP1,2_Smooth muscle marker
HIGD1B,2_Smooth muscle marker
TINAGL1,2_Smooth muscle marker
AMD2B,2_Smooth muscle marker
NOTCH3,2_Smooth muscle marker
HMOX2,2_Smooth muscle marker
LMN,2_Smooth muscle marker
FABP4,2_Smooth muscle marker
ADAMTSL3,2_Smooth muscle marker
OX4I2,2_Smooth muscle marker
ACTA2,2_Smooth muscle marker
N,2_Smooth muscle marker
FRZB,2_Smooth muscle marker
PPP1R14A,2_Smooth muscle marker
NDUFA4L2,2_Smooth muscle marker
ATP1B2,2_Smooth muscle marker
TPM2,2_Smooth muscle marker
FILIP1L,2_Smooth muscle marker
TAGLN,2_Smooth muscle marker
PCDH18,2_Smooth muscle marker
PPP1R12B,2_Smooth muscle marker
MRPL49,2_Smooth muscle marker
PAG1,2_Smooth muscle marker
PTH1R,2_Smooth muscle marker
SYNM,2_Smooth muscle marker
ATF3,2_Smooth muscle marker
MAP1B,2_Smooth muscle marker
JC1,2_Smooth muscle marker
SRP2,2_Smooth muscle marker
S1,2_Smooth muscle marker
S5,2_Smooth muscle marker
PTGIR,2_Smooth muscle marker
F10,2_Smooth muscle marker
THY1,2_Smooth muscle marker
EDIL3,2_Smooth muscle marker
TPM1,2_Smooth muscle marker
IGFBP7,2_Smooth muscle marker
PED1,2_Smooth muscle marker
OL1A2,2_Smooth muscle marker
PERP,2_Smooth muscle marker
ASL12,2_Smooth muscle marker
ANGPT2,2_Smooth muscle marker
BMS3-AS3,2_Smooth muscle marker
NSMCE2,2_Smooth muscle marker
BCAM,2_Smooth muscle marker
ID4,2_Smooth muscle marker
NF152,2_Smooth muscle marker
ASL11A,2_Smooth muscle marker
NR4A1,2_Smooth muscle marker
MYL9,2_Smooth muscle marker
MGAT5,2_Smooth muscle marker
ISYNA1,2_Smooth muscle marker
IGFBP6,2_Smooth muscle marker
IGFBP2,2_Smooth muscle marker
HN1,2_Smooth muscle marker
HSPA2,2_Smooth muscle marker
PDLIM7,2_Smooth muscle marker
ADAMTS1,2_Smooth muscle marker
1QTNF1,2_Smooth muscle marker
SUSD2,2_Smooth muscle marker
FOS,2_Smooth muscle marker
BX1,2_Smooth muscle marker
ARHGAP29,2_Smooth muscle marker
YAB,2_Smooth muscle marker
FGGY,2_Smooth muscle marker
PC1,2_Smooth muscle marker
DUSP16,2_Smooth muscle marker
PRMT9,2_Smooth muscle marker
EBF1,2_Smooth muscle marker
HSPB2,2_Smooth muscle marker
SLC12A2,2_Smooth muscle marker
ZNF318,2_Smooth muscle marker
MNAT1,2_Smooth muscle marker
FGD4,2_Smooth muscle marker
FRY,2_Smooth muscle marker
TSFM,2_Smooth muscle marker
MPP5,2_Smooth muscle marker
HIRIP3,2_Smooth muscle marker
TMEM74B,2_Smooth muscle marker
FLNA,2_Smooth muscle marker
INPP4B,2_Smooth muscle marker
SMIM3,2_Smooth muscle marker
AGPAT5,2_Smooth muscle marker
PEG10,2_Smooth muscle marker
EPS8,2_Smooth muscle marker
TCEAL7,2_Smooth muscle marker
ADIRF,2_Smooth muscle marker
SH3GLB2,2_Smooth muscle marker
USP54,2_Smooth muscle marker
PRSS23,2_Smooth muscle marker
MAP2,2_Smooth muscle marker
PRKAR2B,2_Smooth muscle marker
HES4,2_Smooth muscle marker
TBC1D19,2_Smooth muscle marker
PDE3A,2_Smooth muscle marker
SGCA,2_Smooth muscle marker
SLC7A2,2_Smooth muscle marker
HRD,2_Smooth muscle marker
TCEAL3,2_Smooth muscle marker
UBA2,2_Smooth muscle marker
TMEM199,2_Smooth muscle marker
IOK1,2_Smooth muscle marker
SIAH2,2_Smooth muscle marker
ARSD,2_Smooth muscle marker
ADGRF5,2_Smooth muscle marker
INMT,2_Smooth muscle marker
MCUR1,2_Smooth muscle marker
VIPR1,2_Smooth muscle marker
DYSF,2_Smooth muscle marker
MLX,2_Smooth muscle marker
BGN,2_Smooth muscle marker
EZR,2_Smooth muscle marker
SFTPD,AT1 marker
OL4A3,AT1 marker
SDC1,AT1 marker
PRC5A,AT1 marker
SLC34A2,AT1 marker
EPCAM,AT1 marker
LDN18,AT1 marker
ITGB6,AT1 marker
SCEL,AT1 marker
MUC1,AT1 marker
KRT18,AT1 marker
AGER,AT1 marker
AQP4,AT1 marker
EPS8L2,AT1 marker
SUSD2,AT1 marker
EACAM6,AT1 marker
SLC39A8,AT1 marker
LDN4,AT1 marker
NEDD4L,AT1 marker
YP4B1,AT1 marker
NAPSA,AT1 marker
DHCR24,AT1 marker
SCNN1A,AT1 marker
HOPX,AT1 marker
KRT19,AT1 marker
MSLN,AT1 marker
FXYD3,AT1 marker
LMO3,AT1 marker
IRX2,AT1 marker
TACSTD2,AT1 marker
KRT7,AT1 marker
LAMA3,AT1 marker
SFTPB,AT1 marker
TKN2,AT1 marker
ALCAM,AT1 marker
AB11FIP1,AT1 marker
D55,AT1 marker
NTM,AT1 marker
NKX2-1,AT1 marker
19ORF33,AT1 marker
PEBP4,AT1 marker
ANKRD29,AT1 marker
LMO7,AT1 marker
KRT8,AT1 marker
DAPK2,AT1 marker
LAMB3,AT1 marker
FOLR1,AT1 marker
SFTA2,AT1 marker
LPCAT1,AT1 marker
TMEM125,AT1 marker
AGRN,AT1 marker
LIMD1,AT1 marker
SPOCK2,AT1 marker
ALS2CL,AT1 marker
WFDC2,AT1 marker
SPINT2,AT1 marker
1ORF198,AT1 marker
LIC3,AT1 marker
ITGA3,AT1 marker
SDC4,AT1 marker
APN2,AT1 marker
EMP2,AT1 marker
TKT,AT1 marker
ARAP2,AT1 marker
ADM1,AT1 marker
FAM189A2,AT1 marker
PRKCZ,AT1 marker
ATP1B1,AT1 marker
ALDH3B1,AT1 marker
PATJ,AT1 marker
ALDH3A2,AT1 marker
DKN2B,AT1 marker
WWC2,AT1 marker
D47,AT1 marker
EPB41L5,AT1 marker
NBEAL2,AT1 marker
PERP,AT1 marker
PTPRF,AT1 marker
ICAM5,AT1 marker
EFNA1,AT1 marker
ANXA3,AT1 marker
SH3GLB2,AT1 marker
LIC5,AT1 marker
SEMA3B,AT1 marker
ABHD2,AT1 marker
ICAM1,AT1 marker
ATP1A1,AT1 marker
LCCI1,AT1 marker
PM,AT1 marker
EZR,AT1 marker
PAPSS1,AT1 marker
PLLP,AT1 marker
SCNN1B,AT1 marker
ANXA4,AT1 marker
WFS1,AT1 marker
TMEM63B,AT1 marker
WDR34,AT1 marker
NAV2,AT1 marker
SLC43A2,AT1 marker
SLPI,AT1 marker
TSPAN13,AT1 marker
TSTD1,AT1 marker
KCNT2,AT1 marker
DSP,AT1 marker
OLGA8B,AT1 marker
F3,AT1 marker
AB1,AT1 marker
OCLN,AT1 marker
NDNF,AT1 marker
KB,AT1 marker
MAGI3,AT1 marker
MEGF9,AT1 marker
FSTL3,AT1 marker
LAMA5,AT1 marker
PLXNA1,AT1 marker
LPCAT3,AT1 marker
PM6A,AT1 marker
XCL16,AT1 marker
NASE1,AT1 marker
PLXNB1,AT1 marker
AMOTL2,AT1 marker
IL6R,AT1 marker
FAM174B,AT1 marker
PEG10,AT1 marker
IFT57,AT1 marker
ERBB2,AT1 marker
PNPLA2,AT1 marker
MGLL,AT1 marker
STP1,AT1 marker
VEGFA,AT1 marker
SFTA1P,AT1 marker
FLNB,AT1 marker
ABLIM1,AT1 marker
PC4,AT1 marker
AGPAT2,AT1 marker
PTPRE,AT1 marker
ATAD3B,AT1 marker
AV1,AT1 marker
ASAH1,AT1 marker
TUBB4B,AT1 marker
TSPAN15,AT1 marker
SCRIB,AT1 marker
VAMP8,AT1 marker
MPP5,AT1 marker
SELENBP1,AT1 marker
12ORF49,AT1 marker
ADGRF5,AT1 marker
NF144B,AT1 marker
AL591845.1,AT1 marker
HDAC11,AT1 marker
MAP2,AT1 marker
SUSD6,AT1 marker
BCAM,AT1 marker
ACOX1,AT1 marker
PACSIN2,AT1 marker
SFTPC,AT1 marker
F11R,AT1 marker
UNC13D,AT1 marker
D151,AT1 marker
UBL3,AT1 marker
DTX4,AT1 marker
LIMCH1,AT1 marker
SSFA2,AT1 marker
ACSF2,AT1 marker
ABCC3,AT1 marker
TES,AT1 marker
SYT15,AT1 marker
USP54,AT1 marker
ARHGAP29,AT1 marker
TSPAN12,AT1 marker
TOB1,AT1 marker
PTPN1,AT1 marker
APG,AT1 marker
MBP,AT1 marker
DENND3,AT1 marker
ADGRD1,AT1 marker
FAM129B,AT1 marker
SNX25,AT1 marker
BAIAP2,AT1 marker
AP1G2,AT1 marker
ANBP17,AT1 marker
SLC7A6,AT1 marker
ANXA2,AT1 marker
OPZ1,AT1 marker
PGGHG,AT1 marker
ASSF4,AT1 marker
AV2,AT1 marker
NL1-2,AT1 marker
P4HA2,AT1 marker
OBLL1,AT1 marker
NDST1,AT1 marker
SCD5,AT1 marker
MYO6,AT1 marker
MICALL2,AT1 marker
MAGI1,AT1 marker
MIR22HG,AT1 marker
ADIRF,AT1 marker
MRPL14,AT1 marker
MYO1B,AT1 marker
FGD4,AT1 marker
ARHGAP35,AT1 marker
SPRYD7,AT1 marker
MICAL1,AT1 marker
PPP1CA,AT1 marker
ACSS1,AT1 marker
ND1,AT1 marker
ARMIL1,AT1 marker
LINC01089,AT1 marker
STARD7,AT1 marker
ATP8A1,AT1 marker
KMT5A,AT1 marker
EDEM1,AT1 marker
HBDD2,AT1 marker
WTIP,AT1 marker
D74,AT1 marker
S100A10,AT1 marker
ST6GAL1,AT1 marker
PDGFA,AT1 marker
ANKRD44,AT1 marker
DNM2,AT1 marker
ARHGEF26,AT1 marker
M2B,AT1 marker
NDFIP2,AT1 marker
TMEM54,AT1 marker
ANKRD13A,AT1 marker
VPS13A,AT1 marker
MFN2,AT1 marker
MGAT4A,AT1 marker
PTPN14,AT1 marker
SLC27A3,AT1 marker
IFI27,AT1 marker
DOCK5,AT1 marker
NUDT14,AT1 marker
YB5A,AT1 marker
EPS8L2,AT2 marker
MUC1,AT2 marker
LMO3,AT2 marker
ATP1B1,AT2 marker
FXYD3,AT2 marker
EPCAM,AT2 marker
PRC5A,AT2 marker
FAM53B,AT2 marker
KRT18,AT2 marker
DHCR24,AT2 marker
AQP4,AT2 marker
ITGB6,AT2 marker
EACAM6,AT2 marker
SFTPD,AT2 marker
19ORF33,AT2 marker
MSLN,AT2 marker
YP4B1,AT2 marker
LDN18,AT2 marker
SCNN1A,AT2 marker
NTM,AT2 marker
NAPSA,AT2 marker
LDN4,AT2 marker
STP1,AT2 marker
KRT19,AT2 marker
SCEL,AT2 marker
KRT7,AT2 marker
LPCAT1,AT2 marker
NKX2-1,AT2 marker
SCGB3A1,AT2 marker
SUSD2,AT2 marker
SDC1,AT2 marker
ANXA3,AT2 marker
LRRK2,AT2 marker
HOPX,AT2 marker
MGLL,AT2 marker
LAMB3,AT2 marker
SLC34A2,AT2 marker
PEBP4,AT2 marker
NEDD4L,AT2 marker
SFTPA1,AT2 marker
IRX2,AT2 marker
SFTPB,AT2 marker
TMEM125,AT2 marker
ZNF316,AT2 marker
WFDC2,AT2 marker
ALDH3B1,AT2 marker
FOLR1,AT2 marker
LMO7,AT2 marker
AGPAT2,AT2 marker
TSH,AT2 marker
DSP,AT2 marker
AB11FIP1,AT2 marker
AGER,AT2 marker
AQP1,AT2 marker
ANKRD29,AT2 marker
SFTA2,AT2 marker
EZR,AT2 marker
PM,AT2 marker
MPZL2,AT2 marker
POP4,AT2 marker
LIC3,AT2 marker
PEG10,AT2 marker
SDC4,AT2 marker
SLPI,AT2 marker
LIMD1,AT2 marker
ITGA3,AT2 marker
1ORF198,AT2 marker
MRPL37,AT2 marker
OCLN,AT2 marker
HCST,AT2 marker
ANBP17,AT2 marker
ATP6V1D,AT2 marker
ABCC3,AT2 marker
SPINT2,AT2 marker
EPDR1,AT2 marker
TACSTD2,AT2 marker
ANKRD44,AT2 marker
USP54,AT2 marker
TMEM63B,AT2 marker
D55,AT2 marker
SELENBP1,AT2 marker
ADGRD1,AT2 marker
IFI27,AT2 marker
LIC5,AT2 marker
SLC25A5,AT2 marker
ADM1,AT2 marker
TSTD1,AT2 marker
AGRN,AT2 marker
OLGA8B,AT2 marker
PLLP,AT2 marker
AL591845.1,AT2 marker
EFNA5,AT2 marker
OSBPL7,AT2 marker
ADGRF5,AT2 marker
AP1G2,AT2 marker
ERV3-1,AT2 marker
SLC39A8,AT2 marker
ARRES3,AT2 marker
MZF1,AT2 marker
TIMM22,AT2 marker
BCS1L,AT2 marker
DNM2,AT2 marker
SEC11C,AT2 marker
STK40,AT2 marker
IFT57,AT2 marker
ITGB4,AT2 marker
THAP3,AT2 marker
MROH1,AT2 marker
PCDH1,AT2 marker
SFTA1P,AT2 marker
HLA-DOA,AT2 marker
KRT8,AT2 marker
MFSD8,AT2 marker
ITGA6,AT2 marker
SFTPC,AT2 marker
NCKAP5L,AT2 marker
MEGF6,AT2 marker
ASP6,AT2 marker
ADIRF,AT2 marker
NME4,AT2 marker
ND1,AT2 marker
ADGRG1,AT2 marker
ACSF2,AT2 marker
NASE1,AT2 marker
PTPRU,AT2 marker
DPP4,AT2 marker
ATP8A1,AT2 marker
ARAP2,AT2 marker
VAMP8,AT2 marker
APOBEC3C,AT2 marker
FAM193A,AT2 marker
OX4I2,AT2 marker
STF3,AT2 marker
LAMA5,AT2 marker
DMKN,AT2 marker
H25H,AT2 marker
ATP1A1,AT2 marker
FAM49A,AT2 marker
IER5,AT2 marker
KIAA0408,AT2 marker
PDZD8,AT2 marker
ARHGAP29,AT2 marker
PACSIN2,AT2 marker
FRY,AT2 marker
ALCAM,AT2 marker
DAAM2,AT2 marker
LAMA3,AT2 marker
ECQL5,AT2 marker
MAP3K13,AT2 marker
DOCK5,AT2 marker
PPA1,AT2 marker
HLA-DPA1,AT2 marker
MAPKAPK5,AT2 marker
HLA-DRB1,AT2 marker
VWA1,AT2 marker
VEGFA,AT2 marker
DGKD,AT2 marker
DF15,AT2 marker
KDM4C,B cell lineage marker
IGHV3-23,B cell lineage marker
MZB1,B cell lineage marker
IGLV2-23,B cell lineage marker
IGHG2,B cell lineage marker
SEC11C,B cell lineage marker
IGHV4-39,B cell lineage marker
IGHG3,B cell lineage marker
IGHGP,B cell lineage marker
IGLC3,B cell lineage marker
IGHG1,B cell lineage marker
DOK2,B cell lineage marker
YTIP,B cell lineage marker
LIMD2,B cell lineage marker
JCHAIN,B cell lineage marker
IGLC2,B cell lineage marker
AMMECR1L,B cell lineage marker
IGKC,B cell lineage marker
S1,B cell lineage marker
MFSD11,B cell lineage marker
