Markers,CellType
MYH11,2_Smooth muscle marker
TAGLN,2_Smooth muscle marker
SYNPO2,2_Smooth muscle marker
IGFBP6,2_Smooth muscle marker
ACTA2,2_Smooth muscle marker
EZR,2_Smooth muscle marker
TINAGL1,2_Smooth muscle marker
PPP1R14A,2_Smooth muscle marker
NTM,AT1 marker
TACSTD2,AT1 marker
LIMD1,AT1 marker
EFNA1,AT1 marker
SDC4,AT1 marker
ICAM1,AT1 marker
EMP2,AT1 marker
TMSB10,AT1 marker
KIAA0232,AT2 marker
LPCAT1,AT2 marker
TMEM63B,AT2 marker
LRRK2,AT2 marker
NEMF,AT2 marker
MAP3K20,AT2 marker
B2M,AT2 marker
BEX3,AT2 marker
JCHAIN,B cell lineage marker
IGHM,B cell lineage marker
XBP1,B cell lineage marker
HSPA6,B cell lineage marker
SELENOS,B cell lineage marker
ZNF706,B cell lineage marker
PPP2R5C,B cell lineage marker
TMSB4X,B cell lineage marker
SMAD6,EC arterial marker
ADCY4,EC arterial marker
ADGRL4,EC arterial marker
PTPRB,EC arterial marker
LIMS2,EC arterial marker
DOCK6,EC arterial marker
ACVRL1,EC arterial marker
SHANK3,EC arterial marker
ADGRF5,EC capillary marker
AQP1,EC capillary marker
FCN3,EC capillary marker
TMEM100,EC capillary marker
TCIM,EC capillary marker
TM4SF1,EC capillary marker
SEC14L1,EC capillary marker
PECAM1,EC capillary marker
ACKR1,EC venous marker
SELP,EC venous marker
ADGRG6,EC venous marker
IL33,EC venous marker
MMRN1,EC venous marker
PRSS23,EC venous marker
DCN,Fibroblasts marker
LUM,Fibroblasts marker
MMP2,Fibroblasts marker
FBLN1,Fibroblasts marker
NBL1,Fibroblasts marker
PTGDS,Fibroblasts marker
FN1,Fibroblasts marker
MFAP4,Fibroblasts marker
NKG7,Innate lymphoid cell NK marker
KLRD1,Innate lymphoid cell NK marker
FAM49B,Innate lymphoid cell NK marker
ZCCHC9,Innate lymphoid cell NK marker
BCL2,Innate lymphoid cell NK marker
PTPRC,Innate lymphoid cell NK marker
EFHD2,Innate lymphoid cell NK marker
ADGRE5,Innate lymphoid cell NK marker
PROX1,Lymphatic EC differentiating marker
SLC38A1,Lymphatic EC differentiating marker
TBX1,Lymphatic EC differentiating marker
TFF3,Lymphatic EC differentiating marker
SEMA3A,Lymphatic EC differentiating marker
DOCK5,Lymphatic EC differentiating marker
LYVE1,Lymphatic EC differentiating marker
FABP5,Lymphatic EC differentiating marker
ARL4A,Lymphatic EC mature marker
FLT4,Lymphatic EC mature marker
TMEM255B,Lymphatic EC mature marker
ERICH1,Lymphatic EC mature marker
ECSCR,Lymphatic EC mature marker
SLCO2B1,Macrophages marker
MRC1,Macrophages marker
LAPTM5,Macrophages marker
KLHDC8B,Macrophages marker
ACP5,Macrophages marker
SDC3,Macrophages marker
APOC1,Macrophages marker
TNFAIP2,Macrophages marker
IL1RL1,Mast cells marker
PLIN2,Mast cells marker
S100A4,Mast cells marker
SLC2A3,Mast cells marker
SRGN,Mast cells marker
ZFP36,Mast cells marker
JUNB,Mast cells marker
DUSP2,T cell lineage marker
STK4,T cell lineage marker
IL7R,T cell lineage marker
HSPH1,T cell lineage marker
HSPD1,T cell lineage marker
DNAJB4,T cell lineage marker
VWF,Unknown marker
EGFL7,Unknown marker
SERPING1,Unknown marker
A2M,Unknown marker
FTL,Unknown marker
S100A10,Unknown marker
DNAJB1,Unknown marker
VIM,Unknown marker
